route_id,longitude,latitude,altitude,timestamp
6378,534541.8256730343,3953496.4941782444,1298.4222,1622978440796
6378,534505.5296791939,3953514.546093088,1269.1841,1622978443768
6378,534470.2721239761,3953531.7559973197,1292.4535,1622978446257
6378,534429.4848518932,3953551.483159294,1298.2793,1622978448774
6378,534357.2356496704,3953588.4355662265,1296.9269,1622978453280
6379,534311.9491959253,3953611.9537071036,1320.2773,1622978455771
6379,534274.6142551464,3953631.2718286514,1302.7255,1622978458354
6379,534236.947540274,3953647.204060946,1312.993,1622978460771
6379,534203.775692804,3953660.61520208,1305.2262,1622978463270
6379,534171.6421914466,3953673.184273511,1291.9374,1622978465759
6379,534134.6886173739,3953683.19634459,1294.3942,1622978468255
6379,534094.6285506716,3953693.619728254,1315.8495,1622978470754
6379,534059.7499890878,3953702.370795782,1301.2275,1622978472774
6380,534007.9522011745,3953714.86500258,1301.9471,1622978475759
6380,533973.0770516578,3953722.7702311464,1280.1432,1622978478254
6380,533940.6185361169,3953730.2617435036,1292.8575,1622978480767
6380,533881.9180014363,3953743.5764745804,1295.6711,1622978485761
6380,533849.1146500896,3953751.0670034843,1287.1157,1622978488255
6380,533815.621371292,3953758.5550239324,1289.5687,1622978490763
6380,533789.7244130246,3953764.3797108615,1293.1921,1622978492769
6380,533752.4315024263,3953773.1227874965,1289.4948,1622978495758
6380,533722.7365108024,3953779.7794143134,1281.2825,1622978498263
6380,533695.1099037669,3953786.8670893665,1301.3193,1622978500753
6380,533678.8744556694,3953792.305695044,1302.6438,1622978502761
6380,533654.6865956488,3953802.368215261,1303.87,1622978505751
6380,533637.0311457866,3953818.3788967957,1291.13,1622978508260
6380,533616.6350814117,3953829.302085112,1279.8455,1622978510757
6380,533591.3996143569,3953842.745570987,1275.447,1622978513265
6380,533562.0163648218,3953858.2889158744,1283.4357,1622978515757
6380,533528.8303631583,3953875.9334643804,1276.3447,1622978518266
6380,533494.952923834,3953893.9986213213,1260.261,1622978520754
6380,533435.1474709668,3953926.3514124244,1294.3862,1622978525793
6380,533418.5228393858,3953943.6356950235,1279.238,1622978528261
6380,533410.1635522405,3953964.7589848833,1292.8594,1622978530773
6380,533413.8723393796,3953987.620101952,1286.3375,1622978533259
6380,533429.9845231267,3954014.7588985367,1275.0837,1622978535751
6380,533447.1267655502,3954043.170895792,1278.2244,1622978538258
6380,533482.476189333,3954091.9602008862,1264.484,1622978542762
6380,533504.4270329457,3954125.890705068,1288.8291,1622978545750
6380,533521.5480382681,3954159.803018066,1284.693,1622978548257
6380,533538.3111416508,3954197.0987792043,1328.4216,1622978550749
6380,533561.4829575536,3954272.9205201045,1295.1262,1622978555754
6380,533571.6800263165,3954313.1531890244,1295.0997,1622978558252
6380,533578.7722803329,3954353.374121409,1307.9452,1622978560758
6380,533582.0954511458,3954386.811262895,1294.6482,1622978562764
6381,533585.003155788,3954438.86304896,1295.0514,1622978565761
6381,533583.4551252142,3954483.282247402,1297.3926,1622978568279
6381,533578.8104552168,3954525.574248272,1269.6057,1622978570757
6381,533575.2455433651,3954556.0236563026,1310.3678,1622978572765
6381,533567.8444726997,3954597.4590431317,1303.6278,1622978575763
6381,533560.7964291548,3954636.7802940216,1306.6089,1622978578251
6381,533553.7452449464,3954676.947732105,1339.1871,1622978580803
6381,533545.2855045937,3954724.725577887,1318.2844,1622978583256
6381,533537.534951583,3954767.428963741,1330.4618,1622978585774
6381,533529.4315230645,3954812.2465044227,1295.7346,1622978588254
6381,533515.6842950542,3954890.0442184242,1319.8207,1622978593254
6381,533508.9848392616,3954928.5206476897,1310.1376,1622978595757
6381,533501.2362226957,3954970.800985703,1314.7913,1622978598261
6382,534549.0871956253,3953492.291488015,1301.0493,1622975974643
6382,534533.529150517,3953500.692846767,1303.41,1622975976646
6382,534513.4795279847,3953510.7691460387,1300.6267,1622975979158
6382,534496.8881894114,3953518.7434542947,1300.7886,1622975981641
6382,534482.715177621,3953525.88099839,1298.1876,1622975983645
6383,534307.4560450241,3953614.051813634,1312.861,1622975997659
6383,534265.2797286937,3953636.3129281416,1311.1323,1622976000638
6383,534236.947540274,3953647.204060946,1311.9878,1622976002638
6383,534211.3786529697,3953657.2597451066,1310.6132,1622976004653
6383,534188.228054204,3953666.4786276743,1312.4695,1622976006661
6383,534128.472197454,3953684.8648168803,1310.8345,1622976011144
6383,534099.8083478875,3953692.370344457,1314.5652,1622976013145
6383,534063.893168917,3953701.5405079955,1312.0072,1622976015649
6383,534032.1228610681,3953709.4574245545,1314.7931,1622976017652
6383,533947.1782622591,3953729.0175491157,1314.8169,1622976022647
6383,533902.6353412074,3953739.0015515466,1313.7363,1622976025145
6383,533823.5626390788,3953756.8929079114,1311.6875,1622976029651
6383,533780.0549786553,3953766.881469052,1311.3007,1622976032139
6383,533726.8796212979,3953778.94896958,1310.5864,1622976035157
6383,533655.72477593,3953801.5259619853,1310.3875,1622976039653
6383,533648.8089256675,3953805.7306883405,1310.3875,1622976040147
6383,533609.3758848878,3953833.082445779,1308.6967,1622976043142
6383,533583.4488613312,3953846.9464301663,1307.4879,1622976045145
6383,533557.521919308,3953860.810490003,1310.3677,1622976047153
6383,533492.1882394801,3953895.2574717803,1308.8324,1622976052141
6383,533465.9150012318,3953909.543585428,1310.4747,1622976054145
6383,533435.1474709668,3953926.3514124244,1312.6023,1622976056640
6383,533414.3607168442,3953949.543355715,1311.1461,1622976059152
6383,533410.4750812479,3953973.6451611174,1312.8057,1622976061643
6383,533417.2998616621,3953993.556345629,1312.2521,1622976063651
6383,533433.412023946,3954020.6951488345,1313.2833,1622976066141
6383,533447.4685566394,3954044.018375128,1313.3994,1622976068143
6383,533471.1525323465,3954075.839847817,1316.8007,1622976071149
6383,533489.6776308414,3954103.410958378,1316.3229,1622976073646
6383,533507.5110606032,3954131.4025934553,1315.7848,1622976076137
6383,533519.4941639772,3954155.5643028095,1316.4573,1622976078140
6383,533532.8475094223,3954182.2697821194,1317.6516,1622976080142
6383,533542.0658784978,3954207.690363388,1320.8872,1622976082151
6383,533553.3252340882,3954240.7343956395,1324.3033,1622976084645
6383,533561.8231281219,3954274.191093894,1323.91,1622976087147
6383,533570.6611241732,3954308.918376649,1325.3258,1622976089644
6383,533580.7684280466,3954372.84408038,1329.1779,1622976094141
6384,533583.4711413285,3954479.051349942,1336.6573,1622976100651
6384,533579.886979662,3954514.577831406,1335.4839,1622976102676
6384,533575.2407395861,3954557.292925679,1339.0836,1622976105139
6384,533568.9001634736,3954591.9627914657,1338.8699,1622976107151
6384,533560.7948285413,3954637.203383862,1341.1318,1622976109643
6384,533554.4527611093,3954672.296353163,1344.5087,1622976111646
6384,533546.6973218992,3954716.2689979672,1344.9498,1622976114146
6385,533541.7655711662,3954743.3284896184,1347.127,1622976115649
6385,533534.008652385,3954787.7242392213,1344.9059,1622976118145
6385,533519.2105150737,3954869.7489331462,1349.4475,1622976122642
6385,533512.8639695563,3954906.111212015,1348.8264,1622976124645
6385,533504.7559878202,3954952.19805282,1349.7455,1622976127141
6387,534513.2458750387,3953570.8478278173,1319.8596,1622978508920
6387,534493.3871947385,3953531.8458121046,1314.9813,1622978510923
6387,534471.1281104079,3953489.0266600284,1313.0293,1622978513426
6387,534455.7196168014,3953458.9270323524,1309.5713,1622978515433
6387,534437.2273147476,3953423.3152243467,1304.3479,1622978517930
6388,529360.9908381249,3953250.640340735,1277.5013,1622976993810
6388,529415.1518932048,3953252.5120542385,1277.4779,1622976998308
6388,529435.8511222467,3953253.003775199,1277.0715,1622977000411
6388,529459.9990501677,3953253.9300842886,1277.5463,1622977002806
6388,529484.1469736885,3953254.8564591114,1276.8352,1622977004816
6388,529511.7435902845,3953256.2174596395,1276.6294,1622977006954
6388,529547.9654585385,3953257.6072578235,1276.3444,1622977009313
6388,529597.2948874794,3953259.8870920977,1274.6948,1622977012317
6388,529649.7293857357,3953262.177573545,1270.9071,1622977016321
6388,529683.8811525169,3953263.561011397,1270.2135,1622977018816
6388,529716.6528694242,3953264.9399598343,1270.1631,1622977020827
6388,529787.371426841,3953267.7155876593,1267.2114,1622977025822
6388,529819.4545176285,3953268.6695116423,1267.3235,1622977028314
6388,529840.4972832778,3953269.586424325,1267.4213,1622977030317
6388,529864.3015483404,3953270.089585625,1267.63,1622977032814
6388,529881.2056122818,3953270.569576167,1269.0931,1622977034815
6388,529895.3495952109,3953271.040301314,1267.8503,1622977036825
6388,529911.5622104787,3953271.941113831,1269.3154,1622977039307
